,movie_name,score,overview,crew,orig_title,status,orig_lang,revenue,number,release_date,budget,domestic_gross,worldwide_gross,country_code,genre_code,crew_count,overview_word_count,title_word_count,crew_list,crew_code_sum,release_date_int,budget_crew
0,creed iii,73.0,"After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damien Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose.","Michael B. Jordan, Adonis Creed, Tessa Thompson, Bianca Taylor, Jonathan Majors, Damien Anderson, Wood Harris, Tony 'Little Duke' Evers, Phylicia Rashād, Mary Anne Creed, Mila Davis-Kent, Amara Creed, Florian Munteanu, Viktor Drago, José Benavidez Jr., Felix Chavez, Selenis Leyva, Laura Chavez",Creed III, Released, English,271616668.0,771,2023-03-01,75000000.0,156248615.0,274448615.0,2,521,1,82,2,"['Michael B. Jordan', 'Adonis Creed', 'Tessa Thompson', 'Bianca Taylor', 'Jonathan Majors', 'Damien Anderson', 'Wood Harris', ""Tony 'Little Duke' Evers"", 'Phylicia Rashād', 'Mary Anne Creed', 'Mila Davis-Kent', 'Amara Creed', 'Florian Munteanu', 'Viktor Drago', 'José Benavidez Jr.', 'Felix Chavez', 'Selenis Leyva', 'Laura Chavez']",339963,20230301,220.61224309704292
1,avatar: the way of water,78.0,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.","Sam Worthington, Jake Sully, Zoe Saldaña, Neytiri, Sigourney Weaver, Kiri / Dr. Grace Augustine, Stephen Lang, Colonel Miles Quaritch, Kate Winslet, Ronal, Cliff Curtis, Tonowari, Joel David Moore, Norm Spellman, CCH Pounder, Mo'at, Edie Falco, General Frances Ardmore",Avatar: The Way of Water, Released, English,2316794914.0,2,2022-12-09,460000000.0,684075767.0,2317514386.0,2,917,1,50,5,"['Sam Worthington', 'Jake Sully', 'Zoe Saldaña', 'Neytiri', 'Sigourney Weaver', 'Kiri / Dr. Grace Augustine', 'Stephen Lang', 'Colonel Miles Quaritch', 'Kate Winslet', 'Ronal', 'Cliff Curtis', 'Tonowari', 'Joel David Moore', 'Norm Spellman', 'CCH Pounder', ""Mo'at"", 'Edie Falco', 'General Frances Ardmore']",361986,20221209,1270.7673777438906
2,the super mario bros. movie,76.0,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","Chris Pratt, Mario (voice), Anya Taylor-Joy, Princess Peach (voice), Charlie Day, Luigi (voice), Jack Black, Bowser (voice), Keegan-Michael Key, Toad (voice), Seth Rogen, Donkey Kong (voice), Fred Armisen, Cranky Kong (voice), Kevin Michael Richardson, Kamek (voice), Sebastian Maniscalco, Spike (voice)",The Super Mario Bros. Movie, Released, English,724459031.0,451,2023-04-04,100000000.0,574934330.0,1361553421.0,2,313,1,41,5,"['Chris Pratt', 'Mario (voice)', 'Anya Taylor-Joy', 'Princess Peach (voice)', 'Charlie Day', 'Luigi (voice)', 'Jack Black', 'Bowser (voice)', 'Keegan-Michael Key', 'Toad (voice)', 'Seth Rogen', 'Donkey Kong (voice)', 'Fred Armisen', 'Cranky Kong (voice)', 'Kevin Michael Richardson', 'Kamek (voice)', 'Sebastian Maniscalco', 'Spike (voice)']",300490,20230404,332.7897766980598
3,john wick: chapter 4,80.0,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Keanu Reeves, John Wick, Donnie Yen, Caine, Bill Skarsgård, Marquis de Gramont, Ian McShane, Winston, Laurence Fishburne, Bowery King, Lance Reddick, Charon, Clancy Brown, The Harbinger, Hiroyuki Sanada, Shimazu, Shamier Anderson, Mr Nobody",John Wick: Chapter 4, Released, English,351349364.0,458,2023-03-22,100000000.0,187131806.0,432474706.0,2,160,1,47,4,"['Keanu Reeves', 'John Wick', 'Donnie Yen', 'Caine', 'Bill Skarsgård', 'Marquis de Gramont', 'Ian McShane', 'Winston', 'Laurence Fishburne', 'Bowery King', 'Lance Reddick', 'Charon', 'Clancy Brown', 'The Harbinger', 'Hiroyuki Sanada', 'Shimazu', 'Shamier Anderson', 'Mr Nobody']",300929,20230322,332.304297691482
4,puss in boots: the last wish,83.0,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.","Antonio Banderas, Puss in Boots (voice), Salma Hayek, Kitty Softpaws (voice), Harvey Guillén, Perrito (voice), Wagner Moura, Wolf (voice), Florence Pugh, Goldilocks (voice), Olivia Colman, Mama Bear (voice), Ray Winstone, Papa Bear (voice), Samson Kayo, Baby Bear (voice), John Mulaney, Jack Horner (voice)",Puss in Boots: The Last Wish, Released, English,483480577.0,558,2022-12-02,90000000.0,186090535.0,485254377.0,2,354,1,47,6,"['Antonio Banderas', 'Puss in Boots (voice)', 'Salma Hayek', 'Kitty Softpaws (voice)', 'Harvey Guillén', 'Perrito (voice)', 'Wagner Moura', 'Wolf (voice)', 'Florence Pugh', 'Goldilocks (voice)', 'Olivia Colman', 'Mama Bear (voice)', 'Ray Winstone', 'Papa Bear (voice)', 'Samson Kayo', 'Baby Bear (voice)', 'John Mulaney', 'Jack Horner (voice)']",365662,20221202,246.12893874671144
5,the exorcist,55.0,"Ophelia, a young nun recently arriving in the town of San Ramon, is forced to perform an exorcism on a pregnant woman in danger of dying. Just when she thinks her possession has ended, she discovers that the evil presence hasn't disappeared yet. The director of the award-winning Here Comes the Devil and Late Phases adds a new twist to possession movies in one of this year's Latin American horror surprises.","María Evoli, Ofelia, Diana Bracho, , Tina Romero, Julia, Norma Lazareno, Señora Ramirez, Pilar Santacruz, Sandra, Salvador Sánchez, Señor Ramirez, Julio Bracho, Padre Victor, Ramón Medína, Fabian", La Exorcista, Released," Spanish, Castilian",428214478.0,"3,749",1973-12-26,12000000.0,230956951.0,428824083.0,17,785,1,71,2,"['María Evoli', 'Ofelia', 'Diana Bracho', 'Tina Romero', 'Julia', 'Norma Lazareno', 'Señora Ramirez', 'Pilar Santacruz', 'Sandra', 'Salvador Sánchez', 'Señor Ramirez', 'Julio Bracho', 'Padre Victor', 'Ramón Medína', 'Fabian']",351214,19731226,34.16720290193443
6,the exorcist,77.0,"12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.","Ellen Burstyn, Chris MacNeil, Linda Blair, Regan Teresa MacNeil, Jason Miller, Father Damien Karras, Max von Sydow, Father Lankester Merrin, Lee J. Cobb, Lt. William F. Kinderman, Kitty Winn, Sharon Spencer, Jack MacGowran, Burke Dennings, William O'Malley, Father Joseph Dyer, Barton Heyman, Dr. Samuel Klein",The Exorcist, Released, English,428214478.0,"3,749",1973-12-26,12000000.0,230956951.0,428824083.0,2,785,1,55,2,"['Ellen Burstyn', 'Chris MacNeil', 'Linda Blair', 'Regan Teresa MacNeil', 'Jason Miller', 'Father Damien Karras', 'Max von Sydow', 'Father Lankester Merrin', 'Lee J. Cobb', 'Lt. William F. Kinderman', 'Kitty Winn', 'Sharon Spencer', 'Jack MacGowran', 'Burke Dennings', ""William O'Malley"", 'Father Joseph Dyer', 'Barton Heyman', 'Dr. Samuel Klein']",284082,19731226,42.24132468794221
7,black panther: wakanda forever,73.0,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.","Letitia Wright, Shuri / Black Panther, Lupita Nyong'o, Nakia, Danai Gurira, Okoye, Winston Duke, M'Baku, Dominique Thorne, Riri Williams / Ironheart, Tenoch Huerta Mejía, Namor, Angela Bassett, Ramonda, Florence Kasumba, Ayo, Michaela Coel, Aneka",Black Panther: Wakanda Forever, Released, English,854041058.0,22,2022-11-09,250000000.0,453829060.0,853985546.0,2,47,1,59,4,"['Letitia Wright', 'Shuri / Black Panther', ""Lupita Nyong'o"", 'Nakia', 'Danai Gurira', 'Okoye', 'Winston Duke', ""M'Baku"", 'Dominique Thorne', 'Riri Williams / Ironheart', 'Tenoch Huerta Mejía', 'Namor', 'Angela Bassett', 'Ramonda', 'Florence Kasumba', 'Ayo', 'Michaela Coel', 'Aneka']",337449,20221109,740.8526918141704
8,knock at the cabin,64.0,"While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.","Dave Bautista, Leonard, Jonathan Groff, Eric, Ben Aldridge, Andrew, Kristen Cui, Wen, Nikki Amuka-Bird, Sabrina, Rupert Grint, Redmond, Abby Quinn, Adriane, Clare Louise Frost, Infomercial Co-Host, McKenna Kerrigan, Andrew's Mom",Knock at the Cabin, Released, English,54629497.0,"2,877",2023-02-01,20000000.0,35397980.0,54712735.0,2,1009,1,51,4,"['Dave Bautista', 'Leonard', 'Jonathan Groff', 'Eric', 'Ben Aldridge', 'Andrew', 'Kristen Cui', 'Wen', 'Nikki Amuka-Bird', 'Sabrina', 'Rupert Grint', 'Redmond', 'Abby Quinn', 'Adriane', 'Clare Louise Frost', 'Infomercial Co-Host', 'McKenna Kerrigan', ""Andrew's Mom""]",262879,20230201,76.080630251941
9,the passion of the christ,74.0,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,"Jim Caviezel, Jesus, Maia Morgenstern, Maria, Christo Jivkov, Juan, Francesco De Vito, Pedro, Monica Bellucci, Magdalena, Mattia Sbragia, Caifás, Toni Bertorelli, Anás, Luca Lionello, Judas, Hristo Shopov, Poncio Pilato",The Passion of the Christ, Released, English,622313635.0,"2,445",2004-02-19,25000000.0,370782930.0,622313635.0,2,520,1,13,5,"['Jim Caviezel', 'Jesus', 'Maia Morgenstern', 'Maria', 'Christo Jivkov', 'Juan', 'Francesco De Vito', 'Pedro', 'Monica Bellucci', 'Magdalena', 'Mattia Sbragia', 'Caifás', 'Toni Bertorelli', 'Anás', 'Luca Lionello', 'Judas', 'Hristo Shopov', 'Poncio Pilato']",314620,20040219,79.46093700336914
