Genre,Code
Action,1
"Action, Adventure",2
"Action, Adventure, Animation, Comedy, Family",3
"Action, Adventure, Animation, Family",4
"Action, Adventure, Animation, Family, Comedy",5
"Action, Adventure, Animation, Fantasy, Science Fiction",6
"Action, Adventure, Animation, Science Fiction, Thriller",7
"Action, Adventure, Comedy",8
"Action, Adventure, Comedy, Crime, Family, Romance",9
"Action, Adventure, Comedy, Crime, Thriller",10
"Action, Adventure, Comedy, Drama, Mystery",11
"Action, Adventure, Comedy, Family",12
"Action, Adventure, Comedy, Family, Fantasy",13
"Action, Adventure, Comedy, Family, Fantasy, Science Fiction",14
"Action, Adventure, Comedy, Family, Science Fiction",15
"Action, Adventure, Comedy, Fantasy",16
"Action, Adventure, Comedy, Fantasy, Science Fiction",17
"Action, Adventure, Comedy, Science Fiction",18
"Action, Adventure, Comedy, Science Fiction, Western",19
"Action, Adventure, Comedy, Thriller",20
"Action, Adventure, Comedy, Western",21
"Action, Adventure, Crime",22
"Action, Adventure, Crime, Mystery",23
"Action, Adventure, Crime, Mystery, Thriller",24
"Action, Adventure, Crime, Science Fiction, Thriller",25
"Action, Adventure, Crime, Thriller",26
"Action, Adventure, Drama",27
"Action, Adventure, Drama, Family",28
"Action, Adventure, Drama, History, Romance, War",29
"Action, Adventure, Drama, History, War",30
"Action, Adventure, Drama, Romance",31
"Action, Adventure, Drama, Thriller",32
"Action, Adventure, Family, Comedy",33
"Action, Adventure, Family, Comedy, Science Fiction",34
"Action, Adventure, Fantasy",35
"Action, Adventure, Fantasy, Family",36
"Action, Adventure, Fantasy, Horror, Science Fiction, Thriller",37
"Action, Adventure, Fantasy, Romance",38
"Action, Adventure, Fantasy, Science Fiction",39
"Action, Adventure, Fantasy, Science Fiction, Comedy",40
"Action, Adventure, Fantasy, Science Fiction, Thriller",41
"Action, Adventure, Fantasy, War",42
"Action, Adventure, History, Romance, Drama",43
"Action, Adventure, Horror, Thriller",44
"Action, Adventure, Mystery, Science Fiction, Thriller",45
"Action, Adventure, Romance, Science Fiction, Thriller",46
"Action, Adventure, Science Fiction",47
"Action, Adventure, Science Fiction, Drama",48
"Action, Adventure, Science Fiction, Fantasy",49
"Action, Adventure, Science Fiction, Thriller",50
"Action, Adventure, Thriller",51
"Action, Adventure, Thriller, Crime",52
"Action, Adventure, Thriller, Science Fiction",53
"Action, Adventure, Thriller, War",54
"Action, Adventure, War",55
"Action, Adventure, Western",56
"Action, Animation, Comedy, Family",57
"Action, Animation, Comedy, Family, Adventure",58
"Action, Animation, Fantasy, Science Fiction",59
"Action, Animation, Science Fiction",60
"Action, Comedy",61
"Action, Comedy, Adventure",62
"Action, Comedy, Adventure, War",63
"Action, Comedy, Crime",64
"Action, Comedy, Crime, Drama",65
"Action, Comedy, Crime, Drama, Thriller",66
"Action, Comedy, Crime, Fantasy",67
"Action, Comedy, Crime, Mystery",68
"Action, Comedy, Crime, Romance",69
"Action, Comedy, Crime, Thriller",70
"Action, Comedy, Family",71
"Action, Comedy, Family, Adventure",72
"Action, Comedy, Fantasy",73
"Action, Comedy, Horror",74
"Action, Comedy, Horror, Thriller",75
"Action, Comedy, Romance",76
"Action, Comedy, Science Fiction",77
"Action, Comedy, Thriller",78
"Action, Comedy, Thriller, Crime, Mystery",79
"Action, Comedy, Thriller, Romance",80
"Action, Comedy, War",81
"Action, Comedy, Western, Crime",82
"Action, Crime",83
"Action, Crime, Adventure, Thriller",84
"Action, Crime, Comedy",85
"Action, Crime, Comedy, Thriller",86
"Action, Crime, Drama",87
"Action, Crime, Drama, History, Thriller",88
"Action, Crime, Drama, Thriller",89
"Action, Crime, Drama, Thriller, Mystery",90
"Action, Crime, Fantasy",91
"Action, Crime, Horror, Thriller",92
